Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State ,,
5-Jan-15,0304,SWA116,B737 (BOEING - 737-,8000,ELP,Green,No,El Paso,Texas,,
5-Jan-15,0308,ASQ6063,E45X (EMBRAER - EMB,6000,ABQ,Green,No,Albuquerque,New Mexico,,
5-Jan-15,0322,AAL1180,B752 (BOEING - 757-,3000,SJU,Green,No,San Juan,Puerto Rico,,
5-Jan-15,0456,DAL34,B763 (BOEING - 767-,14000,LAX,Green,No,Los Angeles,California,,
5-Jan-15,0457,DAL1211,B763 (BOEING - 767-,2500,LAX,Green,No,Los Angeles,California,,
5-Jan-15,0628,AAY189,A319,3300,IWA,Green-Blue,No,Phoenix,Arizona,,
5-Jan-15,0655,DAL984,B738 (BOEING - 737-,6000,LAX,Green,No,Los Angeles,California,,
5-Jan-15,0713,AAL18,A321,19000,1O3,Green,No,Lodi,California,,
5-Jan-15,2345,N447ND,P28A/G,2500,FPR,Green,No,Fort Pierce,Florida,,
5-Jan-15,2347,DAL1222,MD90 (MCDONNELL DOU,10000,SRQ,Green,No,Sarasota/Bradenton,Florida,,
6-Jan-15,0057,N214CD,SR22,5500,AGS,Green,No,Augusta,Georgia,,
6-Jan-15,0110,LT104,HELO,600,MFE,Green,No,McAllen,Texas,,
6-Jan-15,0147,SWA240,B737 (BOEING - 737-,9500,STL,Green,No,St Louis,Missouri,,
6-Jan-15,0212,SWA2205,B737,10000,SNS,Green,No,Salinas ,California,,
6-Jan-15,0215,QXE344,DH8D,6000,SEA,Green,No,Seattle,Washington,,
6-Jan-15,0218,SWA4375,B737,10000,MRY,Green,No,Monterey,California,,
6-Jan-15,0335,PHXA805,DA42 (DIAMOND - DA-,6500,CRG,Green,No,Jacksonville,Florida,,
6-Jan-15,0345,N339PC,CL30,10000,DEN,Green,No,Denver,Colorado,,
6-Jan-15,0350,BOUNCER,AS65,2000,ACY,UNKN,No,Atlantic City,New Jersey,,
6-Jan-15,0350,TCF3314,E145 (EMBRAER - C-9,16500,DVK,Green,No,Danville,Kentucky,,
6-Jan-15,0425,N218KK,PA44,2500,GKY,Green,No,Arlington,Texas,,
6-Jan-15,0455,AAL970,B738,7000,LAX,Green,No,Los Angeles,California,,
6-Jan-15,0520,FFT1249,A319 (AIRBUS - A-31,9000,MIA,Green,No,Miami,Florida,,
6-Jan-15,0545,SKW6451,E120/G,10000,SBA,Green,No,Santa Barbara,California,,
6-Jan-15,0557,DAL2321,B739 (BOEING - 737-,19000,12Y,Green,No,Le Sueur,Minnesota,,
6-Jan-15,0635,FFT263,A319,2000,83CA,Green,No,Costa Mesa,California,,
6-Jan-15,0945,N1112N,C172,6000,SCK,Green,No,Stockton,California,,
6-Jan-15,2302,WYM501,SH36,2800,SJU,Green,No,San Juan,Puerto Rico,,
7-Jan-15,0005,VVRW202,H60 (ASTA - S-70 Se,1000,NGU,Green,No,Norfolk,Virginia,,
7-Jan-15,0107,N416WR,C172,5000,MLB,Green,No,Melbourne,Florida,,
7-Jan-15,0215,LIMO59,C182,4500,SEE,Green,No,San Diego/El Cajon,California,,
7-Jan-15,0256,N995GH,F2TH,8000,LAS,Green,No,Las Vegas,Nevada,,
7-Jan-15,0312,SWA1973,B737,1200,SJC,Green,No,San Jose,California,,
7-Jan-15,0401,SWA1543,B737,9000,WVI,Green,No,Watsonville,California,,
7-Jan-15,0407,AAL301,MD80,4900,TUS,Green,No,Tucson,Arizona,,
7-Jan-15,0412,RPA4362,E170,10000,GYY,Red,No,Gary,Indiana,,
7-Jan-15,0439,HAL194,B712,3500,OGG,Green,No,Kahului,Hawaii,,
7-Jan-15,0500,SKW2615,CRJ2,6600,TUS,Green,No,Tucson,Arizona,,
7-Jan-15,1130,SNC1466,SH36,9000,IND,White,No,Indianapolis,Indiana,,
7-Jan-15,1715,N792JD,AS-350B2,700,TPA,Green,No,Tampa,Florida,,
7-Jan-15,2300,JBU1453,A320/L,2300,SJU,Green,No,San Juan,Puerto Rico,,
7-Jan-15,2340,AAL1445,B738 (BOEING - 737-,6000,OPF,Green,No,Miami,Florida,,
8-Jan-15,0020,ASQ4335,E145,10000,JAX,Green,No,Jacksonville,Florida,,
8-Jan-15,0041,N267A,EC145,2100,MFE,Green,No,McAllen,Texas,,
8-Jan-15,0100,SWA1892,B737,6000,HOU,Green,No,Houston,Texas,,
8-Jan-15,0102,ASQ4334,E145 (EMBRAER - C-9,5000,FHB,Green,No,Fernandina Beach,Florida,,
8-Jan-15,0150,CG6510,AS-366GA,500,MIA,Green,No,Miami,Florida,,
8-Jan-15,0315,SWA3121,B737,1500,SJU,Green,No,San Juan,Puerto Rico,,
8-Jan-15,0349,AM20,HELO,5500,SLC,Green,No,Salt Lake City,Utah,,
