2021 Laser Incidents,,,,,,,,,
Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
4-Jan-21,0817,LCO1106,B763,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0820,AAL1456,A321,1000,MIA,Green,No,Miami,Florida
4-Jan-21,0822,GTI8373,B744,1500,MIA,Green,No,Miami,Florida
4-Jan-21,1408,AAL888,B738,5000,P80,Blue,No,Portland,Oregon
4-Jan-21,2306,HRCAN17,HELO,1300,RIC,Green,No,Richmond,Virginia
4-Jan-21,2327,SWA140,B737,3500,BNA,Blue,No,Nashville,Tennessee
4-Jan-21,2340,DAL1504,B712,29000,ZID,Green,No,Indianapolis,Indiana
5-Jan-21,0015,PAT12,HELO,2000,IAD,Green,No,Washington,District of Columbia
5-Jan-21,0025,SKW4663,CRJ2,4000,BIL,Green,No,Billings,Montana
5-Jan-21,0029,N717TP,PC12,5000,BIL,Green,No,Billings,Montana
5-Jan-21,0047,N388JP,DA40,6500,BJC,Green,No,Denver,Colorado
5-Jan-21,0100,UAL433,B738,17000,D01,Green,No,Denver,Colorado
5-Jan-21,0101,SWA910,B738,25000,ZTL,Green,No,Hampton,Georgia
5-Jan-21,0104,N56798,P28A,3000,CLT,Green,Yes,Charlotte,North Carolina
5-Jan-21,0105,FNX302,C402,5000,CLT,Green,No,Charlotte,North Carolina
5-Jan-21,0114,WING12,HELO,1500,MEM,Green,No,Memphis,Tennessee
5-Jan-21,0125,SWA304,B737,6000,I90,Green,No,Houston,Texas
5-Jan-21,0215,PDT6250,E145,14500,ZTL,Green,No,Hampton,Georgia
5-Jan-21,0225,N106GK,LJ70,5000,SCT,Green,No,San Diego,California
5-Jan-21,0331,SWA543,B737,7000,D01,Green,No,Denver,Colorado
5-Jan-21,0335,SKW5789,CRJ2,7000,LIT,Green,No,Little Rock,Arkansas
5-Jan-21,0339,SWA6005,B737,6000,BNA,Green,No,Nashville,Tennessee
5-Jan-21,0346,UAL241,A320,3500,CVG,Green,No,Covington,Kentucky
5-Jan-21,0426,RDDL401,C172,5000,F11,Green,No,Orlando,Florida
5-Jan-21,0456,SKW3257,CRJ7,18000,ZAB,Green,No,Albuquerque,New Mexico
5-Jan-21,0458,N906TF,FA7X,2000,BUR,Green,No,Burbank,California
5-Jan-21,0509,UPS85,B744,8000,SCT,Green,No,San Diego,California
5-Jan-21,0512,FFT607,A20N,11000,D01,Green,No,Denver,Colorado
5-Jan-21,0514,SKW5977,E75L,5000,BOI,Green,No,Boise,Idaho
5-Jan-21,0757,UPS9303,B763,33000,ZTL,Green,No,Hampton,Georgia
5-Jan-21,0924,CFS8298,AT43,8000,ZFW,Green,No,Fort Worth,Texas
6-Jan-21,0030,N426SK,C172,2500,PSC,Green,No,Pasco,Washington
6-Jan-21,0030,N278AG,PA44,4500,D10,Green,No,Dallas-Fort Worth,Texas
